ItemIdentifier,ItemWeight,ItemFatContent,ItemVisibility,ItemType,ItemMRP,OutletIdentifier,OutletSize,OutletLocationType,OutletType,YearsSinceEstablishment
FDY16,18.35,2,0.092602446,4,184.7266,OUT018,2,Tier 3,Supermarket Type2,15
FDK32,16.25,2,0.0,2,152.8682,OUT035,1,Tier 2,Supermarket Type1,20
FDQ22,16.75,1,0.029714904,1,39.3822,OUT013,3,Tier 3,Supermarket Type1,37
NCC31,8.02,1,0.019951406,3,155.9972,OUT018,2,Tier 3,Supermarket Type2,15
FDG58,10.695,2,0.086916126,1,153.7972,OUT049,2,Tier 1,Supermarket Type1,25
DRF48,5.73,1,0.051758358,8,189.0898,OUT013,3,Tier 3,Supermarket Type1,37
DRH36,16.2,1,0.033431957,8,73.3696,OUT049,2,Tier 1,Supermarket Type1,25
NCR30,20.6,1,0.070979549,3,75.5696,OUT035,1,Tier 2,Supermarket Type1,20
FDP56,8.185,1,0.046484138,2,47.9692,OUT046,1,Tier 1,Supermarket Type1,27
NCT30,9.1,1,0.08029289,3,48.1718,OUT046,1,Tier 1,Supermarket Type1,27
FDH44,19.1,2,0.0,2,146.9418,OUT018,2,Tier 3,Supermarket Type2,15
FDV01,19.2,2,0.084879879,12,154.6314,OUT013,3,Tier 3,Supermarket Type1,37
FDZ60,20.5,1,0.119361811,5,107.8596,OUT046,1,Tier 1,Supermarket Type1,27
FDS56,5.785,2,0.038914743,2,264.0252,OUT018,2,Tier 3,Supermarket Type2,15
DRD27,18.75,1,0.023835413,6,99.1042,OUT035,1,Tier 2,Supermarket Type1,20
FDW22,9.695,2,0.0,1,223.1114,OUT046,1,Tier 1,Supermarket Type1,27
FDF38,11.8,2,0.026398984,12,38.9138,OUT049,2,Tier 1,Supermarket Type1,25
FDX48,17.75,2,0.037856364,5,154.3656,OUT013,3,Tier 3,Supermarket Type1,37
FDS58,9.285,2,0.021092185,1,160.8578,OUT018,2,Tier 3,Supermarket Type2,15
FDC32,18.35,1,0.099109001,2,92.9462,OUT046,1,Tier 1,Supermarket Type1,27
DRK39,7.02,1,0.05006853,6,84.025,OUT018,2,Tier 3,Supermarket Type2,15
DRO47,10.195,1,0.112131275,8,112.086,OUT013,3,Tier 3,Supermarket Type1,37
FDS55,7.02,1,0.081164178,2,146.7734,OUT046,1,Tier 1,Supermarket Type1,27
NCJ06,20.1,1,0.034793779,3,119.8782,OUT018,2,Tier 3,Supermarket Type2,15
FDC52,11.15,2,0.008292773,6,152.2708,OUT049,2,Tier 1,Supermarket Type1,25
FDD28,10.695,1,0.0,4,57.8904,OUT035,1,Tier 2,Supermarket Type1,20
FDQ34,10.85,1,0.162494861,1,104.5622,OUT049,2,Tier 1,Supermarket Type1,25
FDM28,15.7,1,0.045195307,4,180.766,OUT035,1,Tier 2,Supermarket Type1,20
FDQ25,8.63,2,0.028253161,12,170.4422,OUT013,3,Tier 3,Supermarket Type1,37
DRI13,15.35,1,0.020358565,8,216.5508,OUT049,2,Tier 1,Supermarket Type1,25
NCZ53,9.6,1,0.024472537,2,187.2214,OUT035,1,Tier 2,Supermarket Type1,20
NCM31,6.095,1,0.081129049,12,143.8154,OUT013,3,Tier 3,Supermarket Type1,37
DRF37,17.25,1,0.084332638,8,262.091,OUT046,1,Tier 1,Supermarket Type1,27
NCF42,17.35,1,0.167643297,3,177.1712,OUT049,2,Tier 1,Supermarket Type1,25
FDF16,7.3,1,0.08648324,4,148.9076,OUT018,2,Tier 3,Supermarket Type2,15
FDB41,19.0,2,0.097232147,4,47.8718,OUT013,3,Tier 3,Supermarket Type1,37
FDR34,17.0,2,0.015952023,1,227.3352,OUT013,3,Tier 3,Supermarket Type1,37
FDR15,9.3,2,0.033574204,7,155.7314,OUT018,2,Tier 3,Supermarket Type2,15
FDW51,6.155,2,0.094641972,7,212.056,OUT035,1,Tier 2,Supermarket Type1,20
FDX60,14.35,1,0.080719435,5,80.996,OUT049,2,Tier 1,Supermarket Type1,25
FDY03,17.6,2,0.076107437,7,113.0202,OUT035,1,Tier 2,Supermarket Type1,20
FDG58,10.695,2,0.086708987,1,154.6972,OUT013,3,Tier 3,Supermarket Type1,37
NCT53,5.4,1,0.048116258,2,164.9526,OUT046,1,Tier 1,Supermarket Type1,27
FDJ28,12.3,1,0.021950037,4,190.7162,OUT018,2,Tier 3,Supermarket Type2,15
FDT20,10.5,1,0.041564073,2,38.4164,OUT018,2,Tier 3,Supermarket Type2,15
NCX17,21.25,1,0.113780055,2,234.93,OUT049,2,Tier 1,Supermarket Type1,25
DRK35,8.365,1,0.072139167,8,36.7506,OUT018,2,Tier 3,Supermarket Type2,15
NCM53,18.75,1,0.052031075,2,106.228,OUT035,1,Tier 2,Supermarket Type1,20
FDO45,13.15,2,0.037921193,1,87.3856,OUT013,3,Tier 3,Supermarket Type1,37
FDE04,19.75,2,0.0,4,179.666,OUT046,1,Tier 1,Supermarket Type1,27
FDZ19,6.425,1,0.093377128,2,174.6712,OUT013,3,Tier 3,Supermarket Type1,37
FDW57,8.31,2,0.115581112,1,177.5028,OUT013,3,Tier 3,Supermarket Type1,37
FDA25,16.5,2,0.0,12,102.299,OUT013,3,Tier 3,Supermarket Type1,37
FDT22,10.395,1,0.112097216,1,59.022,OUT046,1,Tier 1,Supermarket Type1,27
FDP51,13.85,2,0.085204025,7,118.9124,OUT013,3,Tier 3,Supermarket Type1,37
FDY39,5.305,2,0.0470198,7,182.7608,OUT035,1,Tier 2,Supermarket Type1,20
FDT01,13.65,2,0.184132888,12,214.0902,OUT035,1,Tier 2,Supermarket Type1,20
DRJ35,10.1,1,0.046575743,8,62.1878,OUT035,1,Tier 2,Supermarket Type1,20
FDB32,20.6,1,0.023452939,2,93.6778,OUT046,1,Tier 1,Supermarket Type1,27
FDL24,10.3,2,0.024896589,5,173.2422,OUT046,1,Tier 1,Supermarket Type1,27
NCV42,6.26,1,0.031416038,3,112.5228,OUT035,1,Tier 2,Supermarket Type1,20
FDZ46,7.485,1,0.06912372,1,109.2228,OUT046,1,Tier 1,Supermarket Type1,27
FDC15,18.1,1,0.177820954,6,155.7288,OUT013,3,Tier 3,Supermarket Type1,37
FDY50,5.8,1,0.0,6,88.8172,OUT049,2,Tier 1,Supermarket Type1,25
FDD36,13.3,1,0.021255857,5,119.1124,OUT013,3,Tier 3,Supermarket Type1,37
FDL21,15.85,2,0.007175526,1,40.848,OUT018,2,Tier 3,Supermarket Type2,15
FDR07,21.35,1,0.077679213,2,97.2094,OUT013,3,Tier 3,Supermarket Type1,37
NCB55,15.7,1,0.160632642,3,57.8562,OUT035,1,Tier 2,Supermarket Type1,20
FDQ08,15.7,2,0.018914599,2,59.6536,OUT013,3,Tier 3,Supermarket Type1,37
FDR34,17.0,2,0.01596229,1,230.8352,OUT035,1,Tier 2,Supermarket Type1,20
FDO33,14.75,1,0.089322461,1,112.2518,OUT046,1,Tier 1,Supermarket Type1,27
FDX12,18.2,2,0.0,5,243.0196,OUT049,2,Tier 1,Supermarket Type1,25
NCT06,17.1,1,0.03879778,3,166.3842,OUT049,2,Tier 1,Supermarket Type1,25
FDE36,5.26,2,0.041772386,5,165.0868,OUT046,1,Tier 1,Supermarket Type1,27
FDZ36,6.035,2,0.065886059,5,184.924,OUT049,2,Tier 1,Supermarket Type1,25
NCZ17,12.15,1,0.079416624,2,36.2506,OUT035,1,Tier 2,Supermarket Type1,20
FDM09,11.15,2,0.085915295,1,170.779,OUT035,1,Tier 2,Supermarket Type1,20
FDS34,19.35,2,0.07707176,1,112.8518,OUT018,2,Tier 3,Supermarket Type2,15
FDA11,7.75,1,0.043306047,5,95.3436,OUT049,2,Tier 1,Supermarket Type1,25
FDY38,13.6,2,0.119176431,6,233.93,OUT046,1,Tier 1,Supermarket Type1,27
FDQ12,12.65,1,0.03538128,5,230.701,OUT013,3,Tier 3,Supermarket Type1,37
FDB05,5.155,1,0.08318261,4,248.8776,OUT035,1,Tier 2,Supermarket Type1,20
FDU32,8.785,1,0.026073405,2,121.4414,OUT018,2,Tier 3,Supermarket Type2,15
FDD56,15.2,2,0.103939618,2,173.6054,OUT049,2,Tier 1,Supermarket Type1,25
FDO36,19.7,1,0.078231229,5,181.466,OUT018,2,Tier 3,Supermarket Type2,15
FDX10,6.385,2,0.124214471,1,35.5874,OUT018,2,Tier 3,Supermarket Type2,15
DRC49,8.67,1,0.065538317,8,141.8128,OUT049,2,Tier 1,Supermarket Type1,25
NCU29,7.685,1,0.025517058,2,147.476,OUT049,2,Tier 1,Supermarket Type1,25
FDS14,7.285,1,0.050167414,6,156.9288,OUT018,2,Tier 3,Supermarket Type2,15
FDJ08,11.1,1,0.110651177,2,192.7846,OUT035,1,Tier 2,Supermarket Type1,20
FDO31,6.76,2,0.029027743,2,81.396,OUT049,2,Tier 1,Supermarket Type1,25
FDH31,12.0,2,0.020494302,7,101.2042,OUT018,2,Tier 3,Supermarket Type2,15
FDF50,4.905,1,0.0,12,197.7768,OUT046,1,Tier 1,Supermarket Type1,27
NCW42,18.2,1,0.058559885,3,222.6456,OUT049,2,Tier 1,Supermarket Type1,25
FDK51,19.85,1,0.005256469,6,264.0884,OUT018,2,Tier 3,Supermarket Type2,15
FDL14,8.115,2,0.032289868,12,157.6972,OUT018,2,Tier 3,Supermarket Type2,15
FDB47,8.8,1,0.071429389,1,207.4612,OUT046,1,Tier 1,Supermarket Type1,27
FDO03,10.395,2,0.036876003,7,228.3352,OUT035,1,Tier 2,Supermarket Type1,20
FDF52,9.3,1,0.066783292,4,183.0292,OUT046,1,Tier 1,Supermarket Type1,27
FDT11,5.94,2,0.029347924,9,188.4556,OUT013,3,Tier 3,Supermarket Type1,37
FDB08,6.055,1,0.0,2,160.1578,OUT013,3,Tier 3,Supermarket Type1,37
FDQ28,14.0,2,0.0,4,155.6656,OUT018,2,Tier 3,Supermarket Type2,15
NCO02,11.15,1,0.073307104,12,65.2142,OUT013,3,Tier 3,Supermarket Type1,37
NCM54,17.7,1,0.051018257,3,125.2678,OUT049,2,Tier 1,Supermarket Type1,25
FDP51,13.85,2,0.085258864,7,116.8124,OUT035,1,Tier 2,Supermarket Type1,20
FDT38,18.7,1,0.057489563,6,84.7566,OUT013,3,Tier 3,Supermarket Type1,37
FDZ20,16.1,1,0.034446714,2,253.3356,OUT018,2,Tier 3,Supermarket Type2,15
FDJ53,10.5,1,0.071198613,4,120.6098,OUT013,3,Tier 3,Supermarket Type1,37
FDX13,7.725,1,0.047857249,12,249.2092,OUT049,2,Tier 1,Supermarket Type1,25
FDP58,11.1,1,0.135116764,1,220.4482,OUT035,1,Tier 2,Supermarket Type1,20
FDA35,14.85,2,0.054056872,5,123.2072,OUT018,2,Tier 3,Supermarket Type2,15
FDV37,13.0,2,0.083854075,12,198.7426,OUT018,2,Tier 3,Supermarket Type2,15
FDZ59,6.63,2,0.104001913,5,168.45,OUT035,1,Tier 2,Supermarket Type1,20
FDQ28,14.0,2,0.060415636,4,153.1656,OUT035,1,Tier 2,Supermarket Type1,20
FDQ36,7.855,2,0.161413005,5,35.2848,OUT013,3,Tier 3,Supermarket Type1,37
FDD34,7.945,1,0.01594096,1,163.121,OUT018,2,Tier 3,Supermarket Type2,15
FDV31,9.8,1,0.106697143,2,175.637,OUT035,1,Tier 2,Supermarket Type1,20
FDR04,7.075,1,0.022562708,4,95.9068,OUT035,1,Tier 2,Supermarket Type1,20
FDR14,11.65,1,0.174319632,6,55.5298,OUT049,2,Tier 1,Supermarket Type1,25
FDP57,17.5,1,0.052525654,1,104.399,OUT049,2,Tier 1,Supermarket Type1,25
FDE57,9.6,1,0.036285125,2,141.2154,OUT046,1,Tier 1,Supermarket Type1,27
NCN18,8.895,1,0.12471467,3,111.4544,OUT046,1,Tier 1,Supermarket Type1,27
NCQ05,11.395,1,0.021694101,2,150.0708,OUT018,2,Tier 3,Supermarket Type2,15
FDW47,15.0,1,0.046366458,9,119.9414,OUT035,1,Tier 2,Supermarket Type1,20
FDV46,18.2,1,0.012605492,1,137.818,OUT035,1,Tier 2,Supermarket Type1,20
FDE09,8.775,1,0.021691386,2,110.5228,OUT018,2,Tier 3,Supermarket Type2,15
DRI51,17.25,1,0.042206477,6,170.2764,OUT013,3,Tier 3,Supermarket Type1,37
NCX54,9.195,1,0.048019877,3,104.2622,OUT013,3,Tier 3,Supermarket Type1,37
DRE01,10.1,1,0.167016095,8,241.5512,OUT013,3,Tier 3,Supermarket Type1,37
FDU50,5.75,2,0.075155997,6,114.1176,OUT035,1,Tier 2,Supermarket Type1,20
FDG40,13.65,1,0.039816816,4,34.1558,OUT035,1,Tier 2,Supermarket Type1,20
FDW10,21.2,1,0.070964186,1,175.637,OUT018,2,Tier 3,Supermarket Type2,15
FDX51,9.5,2,0.022040367,7,194.1452,OUT013,3,Tier 3,Supermarket Type1,37
FDP21,7.42,2,0.025735975,1,187.7872,OUT035,1,Tier 2,Supermarket Type1,20
FDV23,11.0,1,0.105748691,9,123.1046,OUT013,3,Tier 3,Supermarket Type1,37
FDF24,15.5,2,0.025370468,5,81.1934,OUT046,1,Tier 1,Supermarket Type1,27
FDB51,6.92,1,0.038513862,6,61.5852,OUT049,2,Tier 1,Supermarket Type1,25
FDR20,20.0,2,0.028100349,2,46.9744,OUT013,3,Tier 3,Supermarket Type1,37
FDC51,10.895,2,0.009661057,6,122.973,OUT018,2,Tier 3,Supermarket Type2,15
FDE40,15.6,2,0.099297902,6,60.5194,OUT049,2,Tier 1,Supermarket Type1,25
NCM17,7.93,1,0.071122419,2,43.7086,OUT035,1,Tier 2,Supermarket Type1,20
FDU56,16.85,1,0.0,2,185.3266,OUT035,1,Tier 2,Supermarket Type1,20
FDX02,16.0,1,0.057148803,6,224.3404,OUT049,2,Tier 1,Supermarket Type1,25
DRL23,18.35,1,0.015304311,8,105.7938,OUT046,1,Tier 1,Supermarket Type1,27
FDA10,20.35,1,0.141816013,1,122.2072,OUT046,1,Tier 1,Supermarket Type1,27
FDA11,7.75,1,0.04320284,5,95.6436,OUT013,3,Tier 3,Supermarket Type1,37
NCM06,7.475,1,0.075727897,3,154.7656,OUT046,1,Tier 1,Supermarket Type1,27
NCT05,10.895,1,0.020947887,2,257.5672,OUT035,1,Tier 2,Supermarket Type1,20
NCY06,15.25,1,0.06127993,3,129.6968,OUT049,2,Tier 1,Supermarket Type1,25
FDY56,16.35,2,0.062399603,2,224.7062,OUT035,1,Tier 2,Supermarket Type1,20
FDL02,20.0,2,0.104063695,12,104.5622,OUT035,1,Tier 2,Supermarket Type1,20
NCI06,11.3,1,0.047708667,3,178.366,OUT035,1,Tier 2,Supermarket Type1,20
FDP36,10.395,2,0.091172403,5,48.6008,OUT046,1,Tier 1,Supermarket Type1,27
FDY09,15.6,1,0.025302804,1,176.8054,OUT018,2,Tier 3,Supermarket Type2,15
NCW30,5.21,1,0.011027014,3,260.6962,OUT049,2,Tier 1,Supermarket Type1,25
FDE58,18.5,1,0.052280828,1,117.3124,OUT018,2,Tier 3,Supermarket Type2,15
FDR39,20.35,1,0.083729547,7,184.4292,OUT013,3,Tier 3,Supermarket Type1,37
FDU28,19.2,2,0.094064368,4,187.0214,OUT049,2,Tier 1,Supermarket Type1,25
FDG22,17.6,2,0.041445492,1,35.219,OUT049,2,Tier 1,Supermarket Type1,25
FDC34,16.0,2,0.172726426,1,156.7972,OUT035,1,Tier 2,Supermarket Type1,20
FDP15,15.2,1,0.084284513,7,254.933,OUT018,2,Tier 3,Supermarket Type2,15
FDU45,15.6,2,0.035499428,1,115.7518,OUT035,1,Tier 2,Supermarket Type1,20
FDX22,6.785,2,0.023068402,1,209.7928,OUT018,2,Tier 3,Supermarket Type2,15
DRE60,9.395,1,0.159334462,8,224.372,OUT046,1,Tier 1,Supermarket Type1,27
NCH55,16.35,1,0.034643462,3,127.402,OUT013,3,Tier 3,Supermarket Type1,37
FDH35,18.25,1,0.060237241,10,164.9526,OUT035,1,Tier 2,Supermarket Type1,20
FDO16,5.48,1,0.015095622,4,82.325,OUT013,3,Tier 3,Supermarket Type1,37
FDN08,7.72,2,0.088502045,2,116.2466,OUT049,2,Tier 1,Supermarket Type1,25
FDJ12,8.895,2,0.039200151,5,207.5296,OUT018,2,Tier 3,Supermarket Type2,15
NCN53,5.175,1,0.030355463,2,35.0874,OUT046,1,Tier 1,Supermarket Type1,27
FDY12,9.8,2,0.140584452,5,52.3008,OUT035,1,Tier 2,Supermarket Type1,20
FDU15,13.65,2,0.026597059,7,36.3532,OUT035,1,Tier 2,Supermarket Type1,20
FDQ19,7.35,2,0.014365128,2,242.8512,OUT046,1,Tier 1,Supermarket Type1,27
FDK57,10.195,1,0.080619969,1,119.144,OUT018,2,Tier 3,Supermarket Type2,15
NCD31,12.1,1,0.015431545,3,162.7526,OUT035,1,Tier 2,Supermarket Type1,20
FDJ56,8.985,1,0.183368339,2,100.07,OUT035,1,Tier 2,Supermarket Type1,20
NCU53,5.485,1,0.042751812,2,164.5842,OUT046,1,Tier 1,Supermarket Type1,27
FDD39,16.7,1,0.070141633,6,214.985,OUT035,1,Tier 2,Supermarket Type1,20
FDJ20,20.7,2,0.100174939,2,123.2388,OUT046,1,Tier 1,Supermarket Type1,27
NCW41,18.0,1,0.015513314,2,156.9604,OUT018,2,Tier 3,Supermarket Type2,15
FDL52,6.635,2,0.046081489,4,38.0506,OUT035,1,Tier 2,Supermarket Type1,20
FDS39,6.895,1,0.022456327,7,141.2812,OUT035,1,Tier 2,Supermarket Type1,20
FDM51,11.8,2,0.025926223,7,99.9674,OUT046,1,Tier 1,Supermarket Type1,27
DRM49,6.11,2,0.152573001,8,45.1086,OUT018,2,Tier 3,Supermarket Type2,15
DRF23,4.61,1,0.122550245,8,176.1396,OUT013,3,Tier 3,Supermarket Type1,37
DRH01,17.5,1,0.097885516,8,172.6738,OUT035,1,Tier 2,Supermarket Type1,20
FDW37,19.2,1,0.124555719,12,90.3488,OUT018,2,Tier 3,Supermarket Type2,15
FDF02,16.2,1,0.103473165,12,103.799,OUT046,1,Tier 1,Supermarket Type1,27
DRL37,15.5,1,0.053372178,8,43.377,OUT046,1,Tier 1,Supermarket Type1,27
NCF43,8.51,1,0.051945908,3,141.547,OUT046,1,Tier 1,Supermarket Type1,27
NCK19,9.8,1,0.09060629,12,195.0478,OUT049,2,Tier 1,Supermarket Type1,25
NCD55,14.0,1,0.024430294,3,42.6454,OUT018,2,Tier 3,Supermarket Type2,15
FDT27,11.395,2,0.069695361,7,233.7616,OUT049,2,Tier 1,Supermarket Type1,25
FDA47,10.5,2,0.116651733,5,162.421,OUT035,1,Tier 2,Supermarket Type1,20
FDE05,10.895,2,0.03258625,4,145.6102,OUT018,2,Tier 3,Supermarket Type2,15
FDN46,7.21,2,0.144631478,1,100.6332,OUT046,1,Tier 1,Supermarket Type1,27
FDU33,7.63,2,0.134597662,1,44.7402,OUT013,3,Tier 3,Supermarket Type1,37
FDT36,12.3,1,0.111447593,5,33.4874,OUT049,2,Tier 1,Supermarket Type1,25
FDT13,14.85,1,0.018556186,12,187.1214,OUT013,3,Tier 3,Supermarket Type1,37
NCO29,11.15,1,0.032256191,2,165.1526,OUT046,1,Tier 1,Supermarket Type1,27
FDL15,17.85,1,0.046625941,7,152.3682,OUT035,1,Tier 2,Supermarket Type1,20
FDI41,18.5,2,0.062353714,4,145.4418,OUT049,2,Tier 1,Supermarket Type1,25
FDQ48,14.3,2,0.0,5,98.7726,OUT049,2,Tier 1,Supermarket Type1,25
DRI39,13.8,1,0.09698132,6,55.593,OUT013,3,Tier 3,Supermarket Type1,37
FDI08,18.2,2,0.066241884,2,250.9092,OUT013,3,Tier 3,Supermarket Type1,37
FDC21,14.6,2,0.04302561,2,110.0254,OUT049,2,Tier 1,Supermarket Type1,25
FDF58,13.3,1,0.009579343,1,62.351,OUT035,1,Tier 2,Supermarket Type1,20
NCR41,17.85,1,0.0,2,96.8094,OUT013,3,Tier 3,Supermarket Type1,37
FDA27,20.35,2,0.030901894,6,254.2672,OUT013,3,Tier 3,Supermarket Type1,37
FDA43,10.895,1,0.064663519,2,194.0794,OUT035,1,Tier 2,Supermarket Type1,20
NCE55,8.92,1,0.0,3,178.137,OUT018,2,Tier 3,Supermarket Type2,15
FDQ15,20.35,2,0.151688857,7,80.6276,OUT018,2,Tier 3,Supermarket Type2,15
NCY05,13.5,1,0.054944247,2,36.3874,OUT013,3,Tier 3,Supermarket Type1,37
FDR45,10.8,1,0.028943289,1,239.6222,OUT046,1,Tier 1,Supermarket Type1,27
FDK57,10.195,1,0.080417724,1,121.244,OUT049,2,Tier 1,Supermarket Type1,25
FDV21,11.5,1,0.0,1,125.6704,OUT046,1,Tier 1,Supermarket Type1,27
FDD51,11.15,1,0.119952711,6,45.2744,OUT046,1,Tier 1,Supermarket Type1,27
FDF33,7.97,1,0.021535488,7,109.6596,OUT046,1,Tier 1,Supermarket Type1,27
FDA38,5.44,1,0.025479919,6,238.5538,OUT046,1,Tier 1,Supermarket Type1,27
DRH01,17.5,1,0.097822555,8,175.4738,OUT013,3,Tier 3,Supermarket Type1,37
FDW08,12.1,1,0.148381569,2,104.928,OUT046,1,Tier 1,Supermarket Type1,27
FDG34,11.5,2,0.037628842,1,109.5254,OUT049,2,Tier 1,Supermarket Type1,25
NCF18,18.35,1,0.088965771,3,189.8504,OUT035,1,Tier 2,Supermarket Type1,20
NCH55,16.35,1,0.03466576,3,125.902,OUT035,1,Tier 2,Supermarket Type1,20
DRJ35,10.1,1,0.0,8,60.7878,OUT049,2,Tier 1,Supermarket Type1,25
FDS44,12.65,2,0.156014453,2,238.9538,OUT035,1,Tier 2,Supermarket Type1,20
DRE01,10.1,1,0.167836117,8,241.0512,OUT018,2,Tier 3,Supermarket Type2,15
FDY39,5.305,2,0.046989556,7,184.3608,OUT013,3,Tier 3,Supermarket Type1,37
FDY32,7.605,1,0.129767515,2,161.821,OUT018,2,Tier 3,Supermarket Type2,15
NCP50,17.35,1,0.020591811,12,81.0618,OUT049,2,Tier 1,Supermarket Type1,25
FDZ47,20.7,2,0.07961949,5,98.6042,OUT018,2,Tier 3,Supermarket Type2,15
FDU57,8.27,2,0.089693419,1,152.2708,OUT049,2,Tier 1,Supermarket Type1,25
FDY44,14.15,2,0.02438425,2,194.411,OUT013,3,Tier 3,Supermarket Type1,37
DRH59,10.8,1,0.058671483,8,73.838,OUT018,2,Tier 3,Supermarket Type2,15
FDY36,12.3,1,0.009408748,5,74.838,OUT035,1,Tier 2,Supermarket Type1,20
NCM55,15.6,1,0.066713516,12,184.2924,OUT035,1,Tier 2,Supermarket Type1,20
DRL60,8.52,1,0.027036842,8,150.8682,OUT013,3,Tier 3,Supermarket Type1,37
NCJ54,9.895,1,0.060160503,3,232.2642,OUT049,2,Tier 1,Supermarket Type1,25
FDI07,12.35,2,0.0,7,199.0426,OUT013,3,Tier 3,Supermarket Type1,37
FDE40,15.6,2,0.099125013,6,63.0194,OUT035,1,Tier 2,Supermarket Type1,20
FDE05,10.895,2,0.032447909,4,146.9102,OUT035,1,Tier 2,Supermarket Type1,20
NCI55,18.6,1,0.01270511,3,122.8414,OUT018,2,Tier 3,Supermarket Type2,15
NCE43,12.5,1,0.103863648,3,168.8448,OUT018,2,Tier 3,Supermarket Type2,15
FDW58,20.75,1,0.007583861,1,107.0622,OUT018,2,Tier 3,Supermarket Type2,15
FDR47,17.85,1,0.087395867,9,194.2794,OUT013,3,Tier 3,Supermarket Type1,37
NCF06,6.235,1,0.020280634,3,258.4962,OUT018,2,Tier 3,Supermarket Type2,15
FDQ59,9.8,2,0.056474207,9,85.6908,OUT049,2,Tier 1,Supermarket Type1,25
FDF09,6.215,1,0.012148905,2,36.5848,OUT046,1,Tier 1,Supermarket Type1,27
FDT44,16.6,1,0.102986542,2,117.9466,OUT046,1,Tier 1,Supermarket Type1,27
FDP56,8.185,1,0.046475348,2,47.9692,OUT035,1,Tier 2,Supermarket Type1,20
FDW44,9.5,2,0.035144569,2,171.8448,OUT035,1,Tier 2,Supermarket Type1,20
FDU43,19.35,2,0.058279823,2,237.4564,OUT018,2,Tier 3,Supermarket Type2,15
DRF15,18.35,1,0.033265629,6,152.334,OUT049,2,Tier 1,Supermarket Type1,25
FDU01,20.25,2,0.0,12,184.6924,OUT035,1,Tier 2,Supermarket Type1,20
FDT12,6.215,2,0.049612318,5,224.1062,OUT035,1,Tier 2,Supermarket Type1,20
NCM18,13.0,1,0.083179333,3,62.0194,OUT018,2,Tier 3,Supermarket Type2,15
NCR42,9.105,1,0.038541712,3,33.09,OUT049,2,Tier 1,Supermarket Type1,25
FDN10,11.5,1,0.046123804,1,118.6124,OUT046,1,Tier 1,Supermarket Type1,27
FDQ10,12.85,1,0.033179231,1,171.5422,OUT046,1,Tier 1,Supermarket Type1,27
DRH13,8.575,1,0.023923093,8,105.528,OUT049,2,Tier 1,Supermarket Type1,25
FDT52,9.695,2,0.047390108,4,245.0144,OUT013,3,Tier 3,Supermarket Type1,37
NCV29,11.8,1,0.0,2,177.2686,OUT035,1,Tier 2,Supermarket Type1,20
NCF06,6.235,1,0.020181546,3,260.1962,OUT013,3,Tier 3,Supermarket Type1,37
FDO50,16.25,1,0.078153958,12,91.3804,OUT035,1,Tier 2,Supermarket Type1,20
FDT59,13.65,1,0.015898191,9,229.7668,OUT013,3,Tier 3,Supermarket Type1,37
NCD30,19.7,1,0.026958635,3,98.5726,OUT018,2,Tier 3,Supermarket Type2,15
FDK15,10.8,1,0.098331927,7,100.5042,OUT013,3,Tier 3,Supermarket Type1,37
FDQ57,7.275,1,0.027947642,1,146.876,OUT046,1,Tier 1,Supermarket Type1,27
FDO09,13.5,2,0.12578499,1,261.691,OUT018,2,Tier 3,Supermarket Type2,15
NCG30,20.2,1,0.112299979,3,126.4046,OUT035,1,Tier 2,Supermarket Type1,20
NCS42,8.6,1,0.0693587,3,89.9146,OUT013,3,Tier 3,Supermarket Type1,37
FDE34,9.195,1,0.107801614,1,182.3634,OUT013,3,Tier 3,Supermarket Type1,37
FDB33,17.75,1,0.014580169,2,157.5262,OUT046,1,Tier 1,Supermarket Type1,27
FDZ27,7.935,1,0.017153018,6,48.135,OUT035,1,Tier 2,Supermarket Type1,20
FDI40,11.5,2,0.125498428,4,99.7358,OUT013,3,Tier 3,Supermarket Type1,37
FDG22,17.6,2,0.041346719,1,37.819,OUT013,3,Tier 3,Supermarket Type1,37
FDF20,12.85,1,0.033355494,2,198.5768,OUT018,2,Tier 3,Supermarket Type2,15
FDV50,14.3,1,0.122548032,6,122.173,OUT035,1,Tier 2,Supermarket Type1,20
FDT02,12.6,1,0.024232347,6,36.1874,OUT049,2,Tier 1,Supermarket Type1,25
FDF26,6.825,2,0.046707264,12,151.9998,OUT049,2,Tier 1,Supermarket Type1,25
FDV52,20.7,2,0.0,4,118.6466,OUT035,1,Tier 2,Supermarket Type1,20
FDX59,10.195,1,0.051741591,9,35.2558,OUT049,2,Tier 1,Supermarket Type1,25
FDV25,5.905,1,0.045643611,12,222.0456,OUT035,1,Tier 2,Supermarket Type1,20
FDE53,10.895,1,0.026989658,4,107.728,OUT018,2,Tier 3,Supermarket Type2,15
FDH22,6.405,1,0.136300946,1,126.0678,OUT046,1,Tier 1,Supermarket Type1,27
NCO41,12.5,1,0.018833177,2,97.8384,OUT013,3,Tier 3,Supermarket Type1,37
FDF17,5.19,1,0.042585419,4,196.911,OUT013,3,Tier 3,Supermarket Type1,37
FDR51,9.035,2,0.173436917,7,150.0708,OUT035,1,Tier 2,Supermarket Type1,20
FDC56,7.72,1,0.121419594,2,120.244,OUT013,3,Tier 3,Supermarket Type1,37
FDQ60,6.195,2,0.10935376,5,120.4098,OUT035,1,Tier 2,Supermarket Type1,20
FDN38,6.615,2,0.092114847,12,248.7408,OUT049,2,Tier 1,Supermarket Type1,25
